sum_name_new,gender,hand,age,group_list,num_problems,num_accurate,acc_prec,avg_RT_first,avg_correct_RT_first,sum_num_add_corr,sum_num_sub_corr,sum_num_mult_corr,sum_num_div_corr,acc_add,acc_sub,acc_mult,acc_div,RT_add_corr,RT_sub_corr,RT_mult_corr,RT_div_corr,mean_corr_phon,mean_num_sem,mean_corr_sem,num_corr_lit_math,Inhibit score,Shift score,Emotional Control score,Self-Monitor score,Initiate score,Working Memory score,Plan/Organize score,Org. of Materials score,Task Monitor score,BRI score,MI Score,GEC score
sp19,male,right,23,student,118,114,96.61016949,1.238525424,1.242175439,26,28,26,34,96.2962963,93.33333333,96.2962963,100,1.116,1.125892857,1.148538462,1.506029412,14.33333333,25.33333333,23.66666667,54,13,6,13,8,12,12,16,11,11,40,62,102
sp23,male,right,24,student,133,132,99.2481203,1.023218045,1.023409091,28,30,42,32,100,100,97.6744186,100,0.941964286,1.092733333,0.972619048,1.09634375,8.666666667,15.33333333,15.33333333,61,9,6,10,5,9,8,10,9,8,30,44,74
sp24,male,right,23,student,142,140,98.5915493,0.901464789,0.902378571,41,36,29,34,100,97.2972973,96.66666667,100,0.78,0.921694444,0.918931034,1.015382353,15.33333333,27.66666667,27.33333333,64,13,6,10,6,10,12,13,13,8,35,56,91
sp25,male,right,25,student,134,130,97.01492537,1.101216418,1.094053846,19,26,43,42,90.47619048,96.2962963,100,97.6744186,1.065315789,1.128615385,1.070627907,1.109642857,18,27,26.66666667,47,12,8,17,5,8,11,10,8,6,42,43,85
sp26a,male,left,22,student,108,108,100,1.251203704,1.251203704,21,28,26,33,100,100,100,100,0.972857143,1.36425,1.124230769,1.432454545,20.33333333,22.66666667,22.66666667,54,14,12,24,8,10,10,14,12,9,58,55,113
sp28,female,right,23,student,115,113,98.26086957,1.199721739,1.198876106,26,30,32,25,100,100,94.11764706,100,1.017384615,1.3147,1.23296875,1.205,14.33333333,23.66666667,23.66666667,46,11,8,10,5,8,12,11,10,8,34,49,83
sp29,female,right,22,student,141,138,97.87234043,0.988588652,0.993065217,27,33,37,41,100,94.28571429,100,97.61904762,0.895259259,1.130454545,1.049054054,0.896365854,17,22,22,55,12,12,18,7,13,12,17,11,11,49,64,113
sp3,male,right,24,student,99,97,97.97979798,1.307828283,1.309958763,23,22,26,26,95.83333333,100,100,96.2962963,1.141043478,1.527727273,1.255230769,1.329846154,9.666666667,16,15.33333333,48,12,11,15,8,10,8,14,13,9,46,54,100
sp30,female,left,24,student,67,63,94.02985075,2.227328358,2.055333333,16,17,16,14,88.88888889,94.44444444,100,93.33333333,2.14975,2.938058824,1.54975,1.453357143,10.33333333,19.33333333,19,48,13,9,23,6,12,9,11,16,10,51,58,109
sp31,female,left,22,student,141,139,98.58156028,1.02270922,1.024640288,28,45,32,34,96.55172414,100,96.96969697,100,0.864964286,1.151333333,0.89809375,1.107558824,14,23.33333333,23.33333333,58,17,12,22,5,12,12,16,11,14,56,65,121
sp33,female,left,21,student,79,75,94.93670886,1.792531646,1.813826667,24,23,9,19,100,95.83333333,81.81818182,95,1.65,2.098,1.617666667,1.769684211,17.66666667,25.66666667,22.66666667,39,17,13,26,6,18,17,15,14,9,62,73,135
sp34,female,right,23,student,75,73,97.33333333,1.848386667,1.797876712,15,22,15,21,100,100,100,91.30434783,1.511,2.008136364,1.821266667,1.765809524,23.33333333,31,29.33333333,52,14,11,20,6,16,15,17,11,12,51,71,122
sp4,female,right,22,student,81,78,96.2962963,1.538123457,1.531576923,20,17,26,15,95.23809524,100,96.2962963,93.75,1.4591,1.694647059,1.483269231,1.527133333,13.33333333,17.66666667,17,49,11,10,16,5,12,11,11,10,8,42,52,94
sp5,female,right,23,student,102,98,96.07843137,1.309578431,1.317295918,32,21,19,26,94.11764706,95.45454545,95,100,1.13184375,1.569666667,1.183631579,1.439384615,12.33333333,14,13.33333333,52,10,8,11,5,12,11,12,12,10,34,57,91
sp6,female,right,22,student,98,93,94.89795918,1.270693878,1.271698925,29,26,18,20,90.625,96.2962963,94.73684211,100,1.026758621,1.323615385,1.394055556,1.44925,10,19.33333333,19,51,14,9,22,6,15,12,11,20,11,51,69,120
sp7,male,right,23,student,124,123,99.19354839,1.066741935,1.067455285,39,26,29,29,100,100,96.66666667,100,0.916102564,1.028807692,1.133413793,1.239689655,6.333333333,15,14.66666667,63,10,6,10,5,8,8,10,11,6,31,43,74
sp8,female,right,22,student,92,92,100,1.573141304,1.573141304,17,24,25,26,100,100,100,100,1.492294118,2.127625,1.25348,1.421538462,13.66666667,19.66666667,19.66666667,49,,,,,,,,,,,,
sp9,male,right,24,student,116,114,98.27586207,1.25912069,1.260763158,26,34,31,23,96.2962963,100,96.875,100,1.099153846,1.166588235,1.273354839,1.565695652,15,21,19.66666667,50,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
